url,linked from,server response,redirect link,replacement link
http://www.writing.upenn.edu/pennsound/,/epc/announcements.html,200,,
http://speakeasy.org/subtext/calendar.htm,/epc/announcements.html,301,https://www.megapath.com,
http://writing.upenn.edu/epc/ezines/we,/epc/announcements.html,301,http://writing.upenn.edu/epc/ezines/we/,
http://writing.upenn.edu/epc/ezines/tinfish,/epc/announcements/tinfish.html,301,http://writing.upenn.edu/epc/ezines/tinfish/,
http://writing.upenn.edu/library/Adam-Helen_Selected.html,/epc/authors/adam/index.html,200,,
http://web.archive.org/web/20070526061652/http://www.levity.com/digaland/adam.html,/epc/authors/adam/index.html,200,,
http://www.archive.org,/epc/authors/adam/index.html,302,http://www.archive.org/,
http://faculty.pittstate.edu/~knichols/lizzie.html#helen,/epc/authors/adam/index.html,404,,http://web.archive.org/web/20120820002526/http://faculty.pittstate.edu/~knichols/lizzie.html
http://www.youtube.com/watch?v=t9b7RhTYUKE,/epc/authors/adam/index.html,301,https://www.youtube.com/watch?v=t9b7RhTYUKE,
http://writing.upenn.edu/pennsound/x/Adam.html,/epc/authors/adam/index.html,301,http://writing.upenn.edu/pennsound/x/Adam.php,
http://writing.upenn.edu/pennsound/x/Howe-Pacifica.html,/epc/authors/adam/index.html,301,http://www.writing.upenn.edu/pennsound/x/Howe-Pacifica.php,
http://www.writing.upenn.edu/pennsound/,/epc/authors/alexander/index.html,200,,
http://web.archive.org/web/20000425001634/http://home.ican.net/%7Ealterra/alexbio.html,/epc/authors/alexander/index.html,200,,
http://www.chax.org/,/epc/authors/alexander/index.html,301,https://chax.org/,
http://www.jacketmagazine.com/04/chaxmurphy.html,/epc/authors/alexander/index.html,200,,
http://writing.upenn.edu/epc/authors/alexander/classroom,/epc/authors/alexander/index.html,404,,
http://writing.upenn.edu/pennsound/x/Alexander.php,/epc/authors/alexander/index.html,200,,
http://www.writing.upenn.edu/pennsound/,/epc/authors/andrews/about/adair.html,200,,
http://web.archive.org/web/20000425001634/http://home.ican.net/%7Ealterra/alexbio.html,/epc/authors/andrews/about/adair.html,200,,
http://www.chax.org/,/epc/authors/andrews/about/adair.html,301,https://chax.org/,
http://www.jacketmagazine.com/04/chaxmurphy.html,/epc/authors/andrews/about/adair.html,200,,
http://writing.upenn.edu/epc/authors/alexander/classroom,/epc/authors/andrews/about/adair.html,404,,
http://writing.upenn.edu/pennsound/x/Alexander.php,/epc/authors/andrews/about/adair.html,200,,
http://writing.upenn.edu/epc/authors/andrews/about/index.html,/epc/authors/andrews/about/dance.html,404,,
http://www.fordhamenglish.com/storage/Poetry- BooklistBibliography.pdf,/epc/authors/andrews/index.html,301,http://www.fordhamenglish.com/storage/Poetry-%20BooklistBibliography.pdf,
http://en.wikipedia.org/wiki/Bruce_Andrews,/epc/authors/andrews/index.html,301,https://en.wikipedia.org/wiki/Bruce_Andrews,
http://www.fordhamenglish.com/by-poetry-essays-interview-per/,/epc/authors/andrews/index.html,301,http://fordhamenglish.com/by-poetry-essays-interview-per/,
http://www.facebook.com/BruceAndrewsTwitterProject,/epc/authors/andrews/index.html,200,,
http://english.utah.edu/eclipse/projects/ACAPPELLA/acappella.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/ACAPPELLA/acappella.html,
http://english.utah.edu/eclipse/projects/CORONA/corona.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/CORONA/corona.html,
http://english.utah.edu/eclipse/projects/EDGE/edge.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/EDGE/edge.html,
http://english.utah.edu/eclipse/projects/NOIR/noir.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/NOIR/noir.html,
http://english.utah.edu/eclipse/projects/JOINT/joint.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/JOINT/joint.html,
http://english.utah.edu/eclipse/projects/LANGUAGE/language.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/LANGUAGE/language.html,
http://english.utah.edu/eclipse/projects/LEGEND/legend.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/LEGEND/legend.html,
http://english.utah.edu/eclipse/projects/Millennium/title.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/Millennium/title.html,
http://english.utah.edu/eclipse/projects/PRAXIS/praxis.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/PRAXIS/praxis.html,
http://english.utah.edu/eclipse/projects/TOOTHPICK/toothpick.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/TOOTHPICK/toothpick.html,
http://english.utah.edu/eclipse/projects/VOWELS/vowels.html,/epc/authors/andrews/index.html,302,https://english.utah.edu/eclipse/projects/VOWELS/vowels.html,
http://writing.upenn.edu/epc/authors/andrews/Danger Risk Hazard Jeopardy Peril,/epc/authors/andrews/index.html,404,,
http://www.ubu.com/ubu/andrews_divestiture-a.html,/epc/authors/andrews/index.html,200,,
http://www.ubu.com/ubu/unpub/Unpub_001_Andrews_Whdip.pdf,/epc/authors/andrews/index.html,200,,
http://www.ubu.com/ubu/unpub/Unpub_002_Andrews_Libretto.pdf,/epc/authors/andrews/index.html,200,,
http://www.centerforbookculture.org/dalkey/backlist/antin.html,/epc/authors/antin/bio.html,301,http://www.centerforbookculture.org,
http://www.granarybooks.com/books/conversation_with_antin/conversation1.html,/epc/authors/antin/bio.html,200,,
http://www.centerforbookculture.org/interviews/interview_antin.html,/epc/authors/antin/bio.html,301,http://www.centerforbookculture.org,
http://web.archive.org/web/20070204045600/http://centerforbookculture.org/dalkey/backlist/antin.html,/epc/authors/antin/index.html,200,,
http://web.archive.org/web/20020720094524/http://www.sunmoon.com/classics/antin_selected.html,/epc/authors/antin/index.html,200,,
http://writing.upenn.edu/epc/authors/antin/A-Conversation-with-David-Antin_Charles-Bernstein_Granary-2002.pdf,/epc/authors/antin/index.html,200,,
http://www.ucpress.edu/books/pages/10291.php,/epc/authors/antin/index.html,301,https://www.ucpress.edu/books/pages/10291.php,
https://jacket2.org/commentary/david-antin-obit,/epc/authors/antin/index.html,200,,
http://writing.upenn.edu/pennsound/x/Antin.html,/epc/authors/antin/index.html,301,http://writing.upenn.edu/pennsound/x/Antin.php,
http://primo.getty.edu/primo_library/libweb/action/search.do?vl(freeText0)= David + Antin +papers&vl(21781791UI0)=lsr34&vl(96033584UI1)=all_items&vl(1UIStartWith0)=exact&fn=search&tab=all_gri&mode=Basic&vid=GRI&scp.scps=scope:(GETTY_ROSETTA)&ct=lateralLinking,/epc/authors/antin/index.html,403,,http://web.archive.org/web/20061023084028/http://www.durationpress.com:80/crayon/
http://www.ubu.com/historical/gb/antin_autobiography.pdf,/epc/authors/antin/index.html,200,,
https://jacket2.org/commentary/antins-notes-ultimate-prosody-revisited,/epc/authors/antin/index.html,200,,
http://www.ubu.com/aspen/aspen8/threeMusics.html,/epc/authors/antin/index.html,200,,
http://www.writing.upenn.edu/library/Antin-David_Some-Q-Modernism.html,/epc/authors/antin/index.html,200,,
http://writing.upenn.edu/epc/authors/antin/Antin_Sociology-of-Art_fm_Talking-at-the-Boundaries.pdf,/epc/authors/antin/index.html,200,,
http://writing.upenn.edu/epc/authors/antin/Antin-David_Real-Estate.pdf,/epc/authors/antin/index.html,200,,
http://www-personal.umich.edu/%7Ejlawler/tuning.html,/epc/authors/antin/index.html,200,,
http://writing.upenn.edu/epc/authors/antin/Antin-David-What-It-Means-to-Be-avant-Garde_1993.pdf,/epc/authors/antin/index.html,200,,
http://poemsandpoetics.blogspot.com/2010/06/david-antin-on-narrative-beggar-and.html,/epc/authors/antin/index.html,200,,
http://poemsandpoetics.blogspot.com/2010/07/david-antin-on-narrative-beggar-and.html,/epc/authors/antin/index.html,200,,
http://poemsandpoetics.blogspot.com/2010/08/david-antin-on-narrative-beggar-and.html,/epc/authors/antin/index.html,200,,
